iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
310,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31100,13934,2.346
311,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31200,13934,2.346
312,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31300,13934,2.346
313,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31400,13934,2.346
314,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31500,13934,2.346
315,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31600,13934,2.346
316,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31700,13934,2.346
317,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31800,13934,2.346
318,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31900,13934,2.346
319,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32000,13934,2.346
320,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32100,13934,2.346
321,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32200,13934,2.346
322,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32300,13934,2.346
323,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32400,13934,2.346
324,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32500,13934,2.346
325,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32600,13934,2.346
326,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32700,13934,2.346
327,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32800,13934,2.346
328,0.07536411,305.25922,153.3649,100,0.1,55.0,3,32900,13934,2.346
329,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33000,13934,2.346
330,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33100,13934,2.346
331,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33200,13934,2.346
332,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33300,13934,2.346
333,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33400,13934,2.346
334,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33500,13934,2.346
335,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33600,13934,2.346
336,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33700,13934,2.346
337,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33800,13934,2.346
338,0.07536411,305.25922,153.3649,100,0.1,55.0,3,33900,13934,2.346
339,0.07536411,305.25922,153.3649,100,0.1,55.0,3,34000,13934,2.346
340,0.07536411,305.25922,153.3649,100,0.1,55.0,3,34100,13934,2.346
